Countries_Regions,Count
Afghanistan,114
Africa,119
Albania,91
Algeria,105
Angola,50
Arabia,94
Argentina,40
Armenia,98
Asia,6
Australia,88
Austria,1089
Azerbaijan,10
Bahamas,2
Balkans,31
Bangladesh,102
Barbados,1
Belgium,1636
Belize,1
Benin,131
Bermuda,2
Bhutan,32
Bolivia,231
Borneo,83
Bosnia,10
Brazil,57
Bulgaria,36
Burkina Faso,117
Burundi,4
Cambodia,202
Cameroon,260
Canada,463
Caucasus,52
Central Africa,39
Central African Republic,5
Central America,4
Central Asia,406
Central Europe,52
Chad,3
Chile,67
China,16339
Colombia,378
Cook Islands,5
Costa Rica,243
Cote d'Ivoire,354
Croatia,43
Cuba,22
Cyprus,3332
Czech Republic,414
Democratic Republic of the Congo,545
Denmark,158
Dominican Republic,42
East Africa,7
Eastern Europe,181
Eastern Mediterranean,268
Ecuador,228
Egypt,30125
El Salvador,3
Equatorial Guinea,5
Eritrea,2
Estonia,3
Ethiopia,50
Eurasia,4
Europe,5765
Federated States of Micronesia,10
Fiji,52
Finland,13
France,26284
French Guiana,2
French Polynesia,28
Gabon,69
Gambia,4
Georgia,17
Germany,9091
Ghana,158
Greece,22632
Greenland,3
Guatemala,139
Guinea,26
Guinea-Bissau,11
Guyana,25
Honduras,5
Hungary,315
India,3240
Indonesia,3003
Iran,6843
Iraq,1294
Ireland,567
Israel,55
Italy,22453
Jamaica,4
Japan,22970
Jordan,20
Kazakhstan,33
Kenya,31
Kiribati,5
Korea,638
Kuwait,1
Kyrgyzstan,1
Laos,9
Latvia,5
Lebanon,103
Lesotho,1
Levant,261
Liberia,75
Lithuania,1
Macedonia,5
Madagascar,32
Malawi,3
Malaysia,132
Mali,392
Malta,17
Marshall Islands,11
Mauritania,3
Melanesian,4
Mesoamerica,3
Mexico,1790
Middle East,547
Moldova,1
Mongolia,95
Montenegro,65
Morocco,200
Mozambique,11
Myanmar,185
Namibia,1
Nauru,18
Nepal,262
Netherlands,2285
New Caledonia,24
New Guinea,11
New Zealand,54
Nicaragua,6
Niger,17
Nigeria,647
Norfolk Island,7
North Africa,38
North America,6
Northern Europe,49
Norway,88
Oceania,19
Pakistan,461
Palau,4
Palestine,67
Panama,160
Papua New Guinea,888
Paraguay,15
Peru,3531
Philippines,353
Poland,155
Portugal,201
Puerto Rico,3
Republic of the Congo,41
Romania,4
Russia,1261
Rwanda,8
Samoa,13
Saudi Arabia,82
Scandinavia,37
Senegal,23
Serbia,11
Sierra Leone,35
Slovakia,122
Slovenia,3
Solomon Islands,69
Somalia,3
South Africa,54
South America,15
South Asia,2
South Sudan,3
Southeast Asia,6
Southern Africa,9
Spain,2680
Sri Lanka,117
Sudan,169
Suriname,9
Swaziland,3
Sweden,194
Switzerland,840
Syria,676
Taiwan,17
Tajikistan,2
Tanzania,41
Thailand,657
Tibet,562
Timor-Leste,6
Togo,32
Tonga,11
Tunisia,64
Turkey,1893
Turkmenistan,10
Uganda,22
Ukraine,25
United Kingdom,12239
United States,32104
Uruguay,4
Uzbekistan,114
Vanuatu,68
Venezuela,7
Vietnam,192
West Africa,69
Western Asia,473
Western Europe,721
Yemen,3
Zambia,8
Zimbabwe,11
